nom_commune;latitude;longitude
Virignin;45.716667;5.716667
Vongnes;45.816667;5.716667
Ambérieux-en-Dombes;46;4.9
Arbigny;46.466667;4.966667
Ars-sur-Formans;45.983333;4.816667
Asnières-sur-Saône;46.383333;4.883333
Bâgé-la-Ville;46.316667;4.95
Bâgé-le-Châtel;46.3;4.933333
Baneins;46.116667;4.9
Beauregard;;
Bey;46.216667;4.85
Beynost;45.833333;5
Birieux;45.95;5.033333
Biziat;46.216667;4.933333
Boissey;46.383333;5
Bouligneux;46.016667;5
Boz;46.4;4.9
Chalamont;46;5.166667
Chaleins;46.033333;4.8
Chaneins;46.1;4.85
Chanoz-Châtenay;46.183333;5.033333
Châtenay;46.033333;5.2
Châtillon-la-Palud;45.966667;5.25
Châtillon-sur-Chalaronne;46.116667;4.966667
Chavannes-sur-Reyssouze;46.433333;5
Chaveyriat;46.183333;5.066667
Chevroux;46.383333;4.95
Civrieux;45.916667;4.883333
Condeissiat;46.166667;5.083333
Cormoranche-sur-Saône;46.233333;4.833333
Crans;45.966667;5.216667
Crottet;46.283333;4.9
Cruzilles-lès-Mépillat;46.216667;4.883333
Dommartin;46.341667;4.991667
Dompierre-sur-Chalaronne;46.133333;4.9
Fareins;46.016667;4.766667
Feillens;46.333333;4.883333
Francheleins;46.066667;4.8
Frans;45.983333;4.783333
Garnerans;46.2;4.833333
Genouilleux;46.116667;4.783333
Gorrevod;46.416667;4.95
Grièges;46.25;4.85
Guéreins;46.1;4.783333
Illiat;46.183333;4.883333
Jassans-Riottier;45.983333;4.75
L'Abergement-Clémenciat;46.15;4.916667
La Chapelle-du-Châtelard;46.066667;5.033333
Laiz;46.25;4.883333
Lapeyrouse;45.983333;4.966667
Le Plantay;46.016667;5.083333
Lurcy;46.066667;4.766667
Manziat;46.35;4.9
Marlieux;46.066667;5.066667
Massieux;45.916667;4.833333
Messimy-sur-Saône;;
Mézériat;46.233333;5.033333
Mionnay;45.9;4.933333
Miribel;;
Misérieux;45.983333;4.816667
Mogneneins;46.133333;4.816667
Montceaux;46.1;4.8
Monthieux;45.95;4.933333
Montmerle-sur-Saône;46.083333;4.766667
Neuville-les-Dames;46.166667;5
Neyron;;
Ozan;46.383333;4.916667
Parcieux;45.916667;4.816667
Perrex;46.233333;4.983333
Peyzieux-sur-Saône;46.116667;4.816667
Pont-de-Vaux;46.433333;4.933333
Pont-de-Veyle;46.266667;4.883333
Rancé;45.966667;4.866667
Relevant;46.083333;4.95
Replonges;46.3;4.883333
Reyrieux;45.933333;4.816667
Reyssouze;46.433333;4.916667
Romans;46.116667;5.033333
Saint-André-de-Bâgé;46.3;4.916667
Saint-André-de-Corcy;45.916667;4.95
Saint-André-d'Huiriat;46.216667;4.916667
Saint-André-le-Bouchoux;46.116667;5.083333
Saint-Bénigne;46.433333;4.966667
Saint-Bernard;;
Saint-Cyr-sur-Menthon;46.266667;4.983333
Saint-Didier-de-Formans;45.95;4.783333
Saint-Didier-sur-Chalaronne;46.166667;4.816667
Sainte-Euphémie;45.966667;4.783333
Sainte-Olive;46.016667;4.933333
Saint-Etienne-sur-Chalaronne;46.15;4.866667
Saint-Etienne-sur-Reyssouze;46.4;5
Saint-Genis-sur-Menthon;46.283333;5.016667
Saint-Georges-sur-Renon;46.1;5.033333
Saint-Germain-sur-Renon;46.083333;5.05
Saint-Jean-de-Thurigneux;45.95;4.883333
Saint-Jean-sur-Veyle;46.25;4.916667
Saint-Julien-sur-Veyle;46.2;4.95
Saint-Laurent-sur-Saône;46.3;4.833333
Saint-Marcel;;
Saint-Maurice-de-Beynost;45.833333;4.966667
Saint-Nizier-le-Désert;46.05;5.15
Saint-Paul-de-Varax;46.1;5.133333
Saint-Trivier-sur-Moignans;46.066667;4.9
Sandrans;46.066667;4.983333
Savigneux;46;4.85
Sermoyer;46.5;4.983333
Sulignat;46.166667;4.966667
Thil;45.816667;5.016667
Thoissey;46.166667;4.8
Toussieux;45.966667;4.833333
Tramoyes;45.866667;4.966667
Trévoux;45.933333;4.766667
Valeins;46.116667;4.866667
Versailleux;45.983333;5.1
Vésines;46.35;4.866667
Villars-les-Dombes;46;5.016667
Villeneuve;;
Villette-sur-Ain;;
Vonnas;46.216667;5
Achery;49.683333;3.383333
Aguilcourt;49.4;3.966667
Aizelles;49.483333;3.816667
Amifontaine;49.483333;3.916667
Andelain;49.633333;3.366667
Anguilcourt-le-Sart;49.683333;3.433333
Anizy-le-Château;49.5;3.45
Archon;49.741667;4.116667
Arrancy;49.483333;3.75
Assis-sur-Serre;49.683333;3.566667
Athies-sous-Laon;49.566667;3.683333
Aubigny-en-Laonnois;49.5;3.8
Aulnois-sous-Laon;49.616667;3.6
Barenton-Bugny;49.633333;3.65
Barenton-Cel;49.65;3.633333
Barenton-sur-Serre;49.666667;3.683333
Bassoles-Aulers;49.533333;3.383333
Beaurieux;49.4;3.733333
Berlise;49.666667;4.116667
Berrieux;49.483333;3.85
Berry-au-Bac;49.4;3.9
